unicode, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17
32,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
33,255,165,255,255,128,255,255,141,255,255,187,255,255,181,255,255,255,255
34,205,169,209,208,176,213,255,255,255,255,255,255,255,255,255,255,255,255
35,247,226,222,162,108,122,193,172,201,115,107,169,210,216,249,255,255,255
36,240,117,223,123,136,240,198,69,211,244,149,122,182,93,232,253,242,255
37,160,195,182,126,113,196,249,133,220,170,127,139,205,213,183,255,255,255
38,205,133,241,135,156,214,146,97,190,124,162,121,195,150,180,255,255,255
39,255,161,255,255,167,255,255,255,255,255,255,255,255,255,255,255,255,255
40,255,179,231,251,135,255,211,179,255,217,171,255,254,126,255,255,203,231
41,226,181,255,255,130,253,255,171,217,255,165,225,255,130,255,227,209,255
42,246,199,245,195,68,198,226,185,227,255,255,255,255,255,255,255,255,255
43,255,255,255,255,193,255,188,92,190,235,125,236,255,220,255,255,255,255
44,255,255,255,255,255,255,255,255,255,255,178,255,255,98,255,217,213,255
45,255,255,255,255,255,255,226,159,229,247,230,248,255,255,255,255,255,255
46,255,255,255,255,255,255,255,255,255,255,175,255,255,167,255,255,255,255
47,255,249,188,255,175,224,255,143,255,229,169,255,152,246,255,244,255,255
48,241,162,240,135,221,119,121,124,117,109,237,134,227,143,233,255,255,255
49,253,193,255,186,102,255,255,125,255,252,122,251,194,140,182,255,255,255
50,231,162,245,213,214,145,255,178,196,202,151,249,185,140,179,255,255,255
51,216,162,245,241,212,156,240,114,191,255,246,133,191,149,239,255,255,255
52,255,209,233,245,88,192,151,183,192,136,109,125,255,229,227,255,255,255
53,213,166,220,144,233,246,186,135,186,255,240,135,194,151,244,255,255,255
54,255,192,216,164,197,245,116,147,159,132,250,130,228,146,226,255,255,255
55,193,166,198,233,209,142,255,150,235,251,129,255,229,221,255,255,255,255
56,234,159,232,129,235,131,181,69,186,121,251,120,213,141,220,255,255,255
57,235,162,243,129,234,139,142,148,118,255,216,159,196,172,254,255,255,255
58,255,255,255,255,172,255,255,195,255,255,196,255,255,172,255,255,255,255
59,255,255,255,255,172,255,255,195,255,255,178,255,255,98,255,220,210,255
60,255,255,255,255,201,213,189,161,255,226,129,249,255,235,219,255,255,255
